,text,weight
0,this,0.008942028
1,was,0.03442038
2,my,0.0441749
3,first,0.040251575
4,time,0.019376352
5,using,0.024840811
6,amazon,0.03317074
7,and,0.058183163
8,it,0.046073966
9,was,0.044575408
10,great,0.050943743
11,i,0.020172443
12,have,0.017187474
13,bought,0.011498626
14,other,0.007780282
15,things,0.021405522
16,over,0.017569223
17,the,0.037355363
18,net,0.018807376
19,but,0.0134318
20,by,0.013850534
21,far,0.027169451
22,this,0.0349083
23,was,0.05788615
24,the,0.06481442
25,most,0.04844733
26,seamless,0.041877456
27,lets,0.04116766
28,do,0.039596178
29,it,0.025919907
30,again,0.013412868
31,next,0.007160928
32,time,0.0039147343
33,lawhote,0.0010198387
34,<UNK>,3.916085e-05
35,<UNK>,3.916085e-05
36,<UNK>,3.916085e-05
37,<UNK>,3.916085e-05
38,<UNK>,3.916085e-05
39,<UNK>,3.916085e-05
40,<UNK>,3.916085e-05
41,<UNK>,3.916085e-05
42,<UNK>,3.916085e-05
43,<UNK>,3.916085e-05
44,<UNK>,3.916085e-05
45,<UNK>,3.916085e-05
46,<UNK>,3.916085e-05
47,<UNK>,3.916085e-05
48,<UNK>,3.916085e-05
49,<UNK>,3.916085e-05
50,<UNK>,3.916085e-05
51,<UNK>,3.916085e-05
52,<UNK>,3.916085e-05
53,<UNK>,3.916085e-05
54,<UNK>,3.916085e-05
55,<UNK>,3.916085e-05
56,<UNK>,3.916085e-05
57,<UNK>,3.916085e-05
58,<UNK>,3.916085e-05
59,<UNK>,3.916085e-05
60,<UNK>,3.916085e-05
61,<UNK>,3.916085e-05
62,<UNK>,3.916085e-05
63,<UNK>,3.916085e-05
64,<UNK>,3.916085e-05
65,<UNK>,3.916085e-05
66,<UNK>,3.916085e-05
67,<UNK>,3.916085e-05
68,<UNK>,3.916085e-05
69,<UNK>,3.916085e-05
70,<UNK>,3.916085e-05
71,<UNK>,3.916085e-05
72,<UNK>,3.916085e-05
73,<UNK>,3.916085e-05
74,<UNK>,3.916085e-05
75,<UNK>,3.916085e-05
76,<UNK>,3.916085e-05
77,<UNK>,3.916085e-05
78,<UNK>,3.916085e-05
79,<UNK>,3.916085e-05
80,<UNK>,3.916085e-05
81,<UNK>,3.916085e-05
82,<UNK>,3.916085e-05
83,<UNK>,3.916085e-05
84,<UNK>,3.916085e-05
85,<UNK>,3.916085e-05
86,<UNK>,3.916085e-05
87,<UNK>,3.916085e-05
88,<UNK>,3.916085e-05
89,<UNK>,3.916085e-05
90,<UNK>,3.916085e-05
91,<UNK>,3.916085e-05
92,<UNK>,3.916085e-05
93,<UNK>,3.916085e-05
94,<UNK>,3.916085e-05
95,<UNK>,3.916085e-05
96,<UNK>,3.916085e-05
97,<UNK>,3.916085e-05
98,<UNK>,3.916085e-05
99,<UNK>,3.916085e-05
100,<UNK>,3.916085e-05
101,<UNK>,3.916085e-05
102,<UNK>,3.916085e-05
103,<UNK>,3.916085e-05
104,<UNK>,3.916085e-05
105,<UNK>,3.916085e-05
106,<UNK>,3.916085e-05
107,<UNK>,3.916085e-05
108,<UNK>,3.916085e-05
109,<UNK>,3.916085e-05
110,<UNK>,3.916085e-05
111,<UNK>,3.916085e-05
112,<UNK>,3.916085e-05
113,<UNK>,3.916085e-05
114,<UNK>,3.916085e-05
115,<UNK>,3.916085e-05
116,<UNK>,3.916085e-05
117,<UNK>,3.916085e-05
118,<UNK>,3.916085e-05
119,<UNK>,3.916085e-05
120,<UNK>,3.916085e-05
121,<UNK>,3.916085e-05
122,<UNK>,3.916085e-05
123,<UNK>,3.916085e-05
124,<UNK>,3.916085e-05
125,<UNK>,3.916085e-05
126,<UNK>,3.916085e-05
127,<UNK>,3.916085e-05
128,<UNK>,3.916085e-05
129,<UNK>,3.916085e-05
130,<UNK>,3.916085e-05
131,<UNK>,3.916085e-05
132,<UNK>,3.916085e-05
133,<UNK>,3.916085e-05
134,<UNK>,3.916085e-05
135,<UNK>,3.916085e-05
136,<UNK>,3.916085e-05
137,<UNK>,3.916085e-05
138,<UNK>,3.916085e-05
139,<UNK>,3.916085e-05
140,<UNK>,3.916085e-05
141,<UNK>,3.916085e-05
142,<UNK>,3.916085e-05
143,<UNK>,3.916085e-05
144,<UNK>,3.916085e-05
145,<UNK>,3.916085e-05
146,<UNK>,3.916085e-05
147,<UNK>,3.916085e-05
148,<UNK>,3.916085e-05
149,<UNK>,3.916085e-05
150,<UNK>,3.916085e-05
151,<UNK>,3.916085e-05
152,<UNK>,3.916085e-05
153,<UNK>,3.916085e-05
154,<UNK>,3.916085e-05
155,<UNK>,3.916085e-05
156,<UNK>,3.916085e-05
157,<UNK>,3.916085e-05
158,<UNK>,3.916085e-05
159,<UNK>,3.916085e-05
160,<UNK>,3.916085e-05
161,<UNK>,3.916085e-05
162,<UNK>,3.916085e-05
163,<UNK>,3.916085e-05
164,<UNK>,3.916085e-05
165,<UNK>,3.916085e-05
166,<UNK>,3.916085e-05
167,<UNK>,3.916085e-05
168,<UNK>,3.916085e-05
169,<UNK>,3.916085e-05
170,<UNK>,3.916085e-05
171,<UNK>,3.916085e-05
172,<UNK>,3.916085e-05
173,<UNK>,3.916085e-05
174,<UNK>,3.916085e-05
175,<UNK>,3.916085e-05
176,<UNK>,3.916085e-05
177,<UNK>,3.916085e-05
178,<UNK>,3.916085e-05
179,<UNK>,3.916085e-05
180,<UNK>,3.916085e-05
181,<UNK>,3.916085e-05
182,<UNK>,3.916085e-05
183,<UNK>,3.916085e-05
184,<UNK>,3.916085e-05
185,<UNK>,3.916085e-05
186,<UNK>,3.916085e-05
187,<UNK>,3.916085e-05
188,<UNK>,3.916085e-05
189,<UNK>,3.916085e-05
190,<UNK>,3.916085e-05
191,<UNK>,3.916085e-05
192,<UNK>,3.916085e-05
193,<UNK>,3.916085e-05
194,<UNK>,3.916085e-05
195,<UNK>,3.916085e-05
196,<UNK>,3.916085e-05
197,<UNK>,3.916085e-05
198,<UNK>,3.916085e-05
199,<UNK>,3.916085e-05
200,<UNK>,3.916085e-05
201,<UNK>,3.916085e-05
202,<UNK>,3.916085e-05
203,<UNK>,3.916085e-05
204,<UNK>,3.916085e-05
205,<UNK>,3.916085e-05
206,<UNK>,3.916085e-05
207,<UNK>,3.916085e-05
208,<UNK>,3.916085e-05
209,<UNK>,3.916085e-05
210,<UNK>,3.916085e-05
211,<UNK>,3.916085e-05
212,<UNK>,3.916085e-05
213,<UNK>,3.916085e-05
214,<UNK>,3.916085e-05
215,<UNK>,3.916085e-05
216,<UNK>,3.916085e-05
217,<UNK>,3.916085e-05
218,<UNK>,3.916085e-05
219,<UNK>,3.916085e-05
220,<UNK>,3.916085e-05
221,<UNK>,3.916085e-05
222,<UNK>,3.916085e-05
223,<UNK>,3.916085e-05
224,<UNK>,3.916085e-05
225,<UNK>,3.916085e-05
226,<UNK>,3.916085e-05
227,<UNK>,3.916085e-05
228,<UNK>,3.916085e-05
229,<UNK>,3.916085e-05
230,<UNK>,3.916085e-05
231,<UNK>,3.916085e-05
232,<UNK>,3.916085e-05
233,<UNK>,3.916085e-05
234,<UNK>,3.916085e-05
235,<UNK>,3.916085e-05
236,<UNK>,3.916085e-05
237,<UNK>,3.916085e-05
238,<UNK>,3.916085e-05
239,<UNK>,3.916085e-05
240,<UNK>,3.916085e-05
241,<UNK>,3.916085e-05
242,<UNK>,3.916085e-05
243,<UNK>,3.916085e-05
244,<UNK>,3.916085e-05
245,<UNK>,3.916085e-05
246,<UNK>,3.916085e-05
247,<UNK>,3.916085e-05
248,<UNK>,3.916085e-05
249,<UNK>,3.916085e-05
250,<UNK>,3.916085e-05
251,<UNK>,3.916085e-05
252,<UNK>,3.916085e-05
253,<UNK>,3.916085e-05
254,<UNK>,3.916085e-05
255,<UNK>,3.916085e-05
256, , 
257,i,0.0004203615
258,'m,0.0012699
259,a,0.0012094883
260,big,0.005814301
261,guy,0.00393332
262,heck,0.0063118422
263,i,0.008110203
264,'ll,0.009933052
265,just,0.012565293
266,admit,0.0119874915
267,i,0.010298206
268,'m,0.012592296
269,a,0.011121276
270,fat,0.013727064
271,guy,0.011775621
272,however,0.013367887
273,i,0.011164016
274,am,0.008151897
275,also,0.005601413
276,simply,0.0034298552
277,large,0.0071792924
278,framed,0.0083138915
279,broad,0.010043346
280,shouldered,0.009509593
281,barrel,0.0068787048
282,chested,0.008432271
283,i,0.006036364
284,got,0.0044651143
285,the,0.00855838
286,largest,0.0049164975
287,size,0.005695144
